Date,Open,High,Low,Close,Volume,turnover,open_interest
2023-11-17 09:01:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:02:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:03:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:04:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:05:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:06:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:07:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:08:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:09:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:10:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:11:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:12:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:13:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:14:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:15:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:16:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:17:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:18:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:19:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:20:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:21:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:22:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:23:00,14975,14975,14975,14975,0,0,0
2023-11-17 09:24:00,14975,14975,14975,14975,1,0,1
2023-11-17 09:25:00,13910,13910,13910,13910,1,0,0
2023-11-17 09:26:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:27:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:28:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:29:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:30:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:31:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:32:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:33:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:34:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:35:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:36:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:37:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:38:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:39:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:40:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:41:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:42:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:43:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:44:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:45:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:46:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:47:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:48:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:49:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:50:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:51:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:52:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:53:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:54:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:55:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:56:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:57:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:58:00,13910,13910,13910,13910,0,0,0
2023-11-17 09:59:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:00:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:01:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:02:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:03:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:04:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:05:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:06:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:07:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:08:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:09:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:10:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:11:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:12:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:13:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:14:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:15:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:31:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:32:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:33:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:34:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:35:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:36:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:37:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:38:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:39:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:40:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:41:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:42:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:43:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:44:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:45:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:46:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:47:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:48:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:49:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:50:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:51:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:52:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:53:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:54:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:55:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:56:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:57:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:58:00,13910,13910,13910,13910,0,0,0
2023-11-17 10:59:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:00:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:01:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:02:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:03:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:04:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:05:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:06:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:07:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:08:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:09:00,13910,13910,13910,13910,0,0,0
2023-11-17 11:10:00,13910,13910,13910,13910,0,0,0
